id,category,type,name,description,stack,difficulty,priority,note
166,Education & Career,Tool,Anki,Spaced-repetition flashcards for long-term learning.,Python/SQLite,Beginner,P1,"Check license, terms, secrets, and data handling before adoption."
167,Education & Career,Tool,LeetCode,Practice platform for coding and algorithms.,Multiple languages,Beginner,P1,"Check license, terms, secrets, and data handling before adoption."
168,Education & Career,Tool,Exercism,Mentored programming exercises across languages.,Multiple languages,Beginner,P1,"Check license, terms, secrets, and data handling before adoption."
169,Education & Career,Tool,Open edX,Open-source learning management platform.,Python/Django,Advanced,P2,"Check license, terms, secrets, and data handling before adoption."
170,Education & Career,Tool,Moodle,Open-source learning management system.,PHP/SQL,Intermediate,P2,"Check license, terms, secrets, and data handling before adoption."
171,Education & Career,Project idea,Coding roadmap generator,"Create a staged plan from goals, time, current skills, and project preferences.",Next.js/Postgres,Beginner,P1,"Check license, terms, secrets, and data handling before adoption."
172,Education & Career,Project idea,Interview question tracker,"Track topics, attempts, explanations, and spaced review dates.",React/SQLite,Beginner,P1,"Check license, terms, secrets, and data handling before adoption."
173,Education & Career,Project idea,Resume project analyzer,"Check whether projects communicate impact, stack, and measurable outcomes.",Python/Markdown/LLM API,Intermediate,P1,"Check license, terms, secrets, and data handling before adoption."
174,Education & Career,Project idea,Portfolio project planner,Turn a target role into a sequence of portfolio projects.,Next.js/Postgres,Beginner,P2,"Check license, terms, secrets, and data handling before adoption."
175,Education & Career,Project idea,Interactive system-design coach,"Guide users through requirements, trade-offs, and diagrams.",Next.js/Mermaid/LLM API,Intermediate,P2,"Check license, terms, secrets, and data handling before adoption."
176,Education & Career,Project idea,Flashcard-from-notes tool,Extract concepts and generate review cards from Markdown.,Python/LLM API/Anki,Intermediate,P1,"Check license, terms, secrets, and data handling before adoption."
177,Education & Career,Project idea,Learning progress dashboard,"Combine completed exercises, projects, notes, and review streaks.",Next.js/SQLite,Beginner,P1,"Check license, terms, secrets, and data handling before adoption."
178,Education & Career,Project idea,Open-source contribution planner,Find suitable issues and create a contribution preparation checklist.,GitHub API/Next.js,Intermediate,P1,"Check license, terms, secrets, and data handling before adoption."
179,Education & Career,Project idea,Technical writing coach,"Review README clarity, examples, terminology, and structure.",Python/Markdown/LLM API,Intermediate,P1,"Check license, terms, secrets, and data handling before adoption."
180,Education & Career,Project idea,Hackathon idea generator,"Generate ideas constrained by time, team skills, APIs, and demoability.",Next.js/LLM API,Beginner,P2,"Check license, terms, secrets, and data handling before adoption."
181,Hackathon & Product Ideas,Project idea,Community API directory,"Let users submit, vote on, and validate useful APIs.",Next.js/Postgres/GitHub Actions,Intermediate,P1,"Check license, terms, secrets, and data handling before adoption."
182,Hackathon & Product Ideas,Project idea,AI project showcase,"Catalog AI projects with demos, frameworks, datasets, and licenses.",Next.js/Postgres,Intermediate,P1,"Check license, terms, secrets, and data handling before adoption."
183,Hackathon & Product Ideas,Project idea,MVP scope planner,Convert a broad product idea into must-have and defer lists.,Next.js/LLM API,Beginner,P1,"Check license, terms, secrets, and data handling before adoption."
184,Hackathon & Product Ideas,Project idea,Demo-day story builder,"Generate a problem, solution, demo flow, and impact narrative.",Next.js/LLM API,Beginner,P2,"Check license, terms, secrets, and data handling before adoption."
185,Hackathon & Product Ideas,Project idea,Team skill matrix,"Visualize skills, gaps, availability, and ownership.",React/Postgres,Beginner,P1,"Check license, terms, secrets, and data handling before adoption."
186,Hackathon & Product Ideas,Project idea,Build-in-public dashboard,"Publish commits, releases, metrics, and roadmap progress.",GitHub API/Next.js,Intermediate,P2,"Check license, terms, secrets, and data handling before adoption."
187,Hackathon & Product Ideas,Project idea,Open-source project health index,"Score activity, docs, issues, releases, and license metadata.",GitHub API/Postgres,Intermediate,P1,"Check license, terms, secrets, and data handling before adoption."
188,Hackathon & Product Ideas,Project idea,AI prototype cost planner,"Estimate model calls, storage, hosting, and usage limits.",Python/Cloud pricing APIs,Intermediate,P2,"Check license, terms, secrets, and data handling before adoption."
189,Hackathon & Product Ideas,Project idea,Feature prioritization matrix,"Rank ideas by impact, confidence, effort, and risk.",React/SQLite,Beginner,P1,"Check license, terms, secrets, and data handling before adoption."
190,Hackathon & Product Ideas,Project idea,Customer interview repository,"Store interview notes, tags, themes, and evidence links.",Next.js/Postgres,Beginner,P1,"Check license, terms, secrets, and data handling before adoption."
191,Hackathon & Product Ideas,Project idea,Feedback-to-roadmap tool,Cluster feedback and convert themes into roadmap candidates.,Python/LLM API/Postgres,Intermediate,P1,"Check license, terms, secrets, and data handling before adoption."
192,Hackathon & Product Ideas,Project idea,Prototype telemetry starter,Add privacy-aware events and funnel analysis to MVPs.,TypeScript/Postgres/Charts,Intermediate,P2,"Check license, terms, secrets, and data handling before adoption."
193,Hackathon & Product Ideas,Project idea,Hackathon judging dashboard,"Collect scores, normalize rubrics, and surface finalists.",Next.js/Postgres,Intermediate,P2,"Check license, terms, secrets, and data handling before adoption."
194,Hackathon & Product Ideas,Project idea,Sponsor API challenge board,"Publish challenge prompts, datasets, and starter repositories.",Next.js/Postgres,Beginner,P2,"Check license, terms, secrets, and data handling before adoption."
195,Hackathon & Product Ideas,Project idea,Open-source license explainer,Explain license obligations for a selected dependency.,Next.js/License data,Intermediate,P1,"Check license, terms, secrets, and data handling before adoption."
196,Hackathon & Product Ideas,Project idea,Repository starter generator,"Create a consistent README, CI, issue templates, and code-of-conduct.",Node.js/Yeoman/GitHub API,Intermediate,P1,"Check license, terms, secrets, and data handling before adoption."
197,Hackathon & Product Ideas,Project idea,Product analytics sandbox,"Explore events, cohorts, retention, and funnels on synthetic sample data.",Python/Streamlit/SQL,Beginner,P2,"Check license, terms, secrets, and data handling before adoption."
198,Hackathon & Product Ideas,Project idea,Privacy-first feedback widget,Collect structured feedback without unnecessary personal data.,TypeScript/SQLite,Intermediate,P1,"Check license, terms, secrets, and data handling before adoption."
199,Hackathon & Product Ideas,Project idea,Community moderation queue,Prioritize reports and require human review before action.,Next.js/Postgres,Intermediate,P1,"Check license, terms, secrets, and data handling before adoption."
200,Hackathon & Product Ideas,Project idea,Demo environment manager,Spin up seeded preview environments for judges or stakeholders.,Docker/Node.js/Cloud APIs,Advanced,P2,"Check license, terms, secrets, and data handling before adoption."
